ID,NAME,DOB,TRAINER,GENDER,SIRE,DAM,OWNER
0075688,Roatan,13th July 2021,Mlle A Imaz Ceca,Gelding,-,-,-
0075604,Il Capo Mio (IRE),13th July 2021,T J Corcoran,Gelding,-,-,-
0075630,Rebel City,13th July 2021,S A Callaghan,Colt,-,-,-
0075617,Paint Splash,13th July 2021,T D Barron,Filly,-,-,-
0075619,Finellas Fortune,13th July 2021,G M Moore,Mare,-,-,-
0075645,Vent Des Aigles (FR),13th July 2021,R Caget,Horse,-,-,-
0075632,Silver Sceptre (IRE),13th July 2021,W J Musson,Gelding,-,-,-
0075634,No Broken Hearts (ITY),13th July 2021,X Thomas Demeaulte,Gelding,-,-,-
0075605,Surgin Bernie (IRE),13th July 2021,R P Rath,Gelding,-,-,-
0075620,Stalking Shadow,28th February 2018,Jonathan Wong,Colt,Ministers Wild Cat,Silent Stalk,Tommy Town Thoroughbreds LLC
0075762,Abu Dubai (IRE),13th July 2021,J A Glover,Filly,-,-,-
0075675,Quilca (USA),13th July 2021,K Prendergast,Gelding,-,-,-
0075635,Cresus Bey (FR),13th July 2021,P Chevillard,Mare,-,-,-
0075571,Nino Zachetti (IRE),13th July 2021,E J Alston,Gelding,-,-,-
0075756,Land Hawk (IRE),13th July 2021,Mrs L Pearce,Gelding,-,-,-
0075759,Not Til Monday (IRE),13th July 2021,J R Jenkins,Gelding,-,-,-
0075690,Silent Approach (FR),13th July 2021,Mlle C Cardenne,Filly,-,-,-
0075777,Spinners End (IRE),13th July 2021,A P Jarvis,Colt,-,-,-
0075771,Marine Boy (IRE),13th July 2021,Tom Dascombe,Gelding,-,-,-
0075586,Kingdom of Heaven (IRE),13th July 2021,Mrs D A Hamer,Filly,-,-,-
0075774,Poaka Beck (IRE),13th July 2021,R F Fisher,Colt,-,-,-
0075792,Social Society (IRE),13th July 2021,Mrs D A Love,Mare,-,-,-
0075757,Lords A Leaping (IRE),13th July 2021,J A Osborne,Colt,-,-,-
0075761,Stevie Junior,13th July 2021,P W Chapple-Hyam,Colt,-,-,-
0075789,Shakalaka (IRE),13th July 2021,T Von,Gelding,-,-,-
0075601,Kaytessa (IRE),13th July 2021,T Cleary,Mare,-,-,-
0075679,Wedontknow (IRE),13th July 2021,P Meany,Gelding,-,-,-
0075807,Never Cry,13th July 2021,S Seemar,Mare,-,-,-
0075772,Olynard (IRE),13th July 2021,M Mullineaux,Gelding,-,-,-
0075776,Sign of Approval,13th July 2021,K R Burke,Colt,-,-,-
0075694,Irish Joe (USA),13th July 2021,R E Peacock,Gelding,-,-,-
0075616,Haafhds Delight (IRE),13th July 2021,W M Brisbourne,Filly,-,-,-
0075822,Winkle (IRE),13th July 2021,M Delzangles,Filly,-,-,-
0075787,Inexcess (IRE),13th July 2021,D Marnane,Gelding,-,-,-
0075791,Cnocan Gold (IRE),13th July 2021,J G Murphy,Filly,-,-,-
0075631,Ruasgreyasme (USA),13th July 2021,W R Muir,Filly,-,-,-
0075804,Sultans Way (IRE),13th July 2021,P &amp; O Cole,Gelding,-,-,-
0075758,Navajo Nation (IRE),13th July 2021,W G M Turner,Gelding,-,-,-
0075802,Kayfiar (USA),13th July 2021,P &amp; O Cole,Colt,-,-,-
0075806,Street Crime,13th July 2021,R J Hodges,Gelding,-,-,-
0075801,Holyrood,13th July 2021,Mme K gernreich,Gelding,-,-,-
0075819,Masters Royal (FR),13th July 2021,B Barbier,Gelding,-,-,-
0075677,Ceasers Hall (IRE),13th July 2021,J M Burke,Gelding,-,-,-
0075646,Corbeautin (FR),13th July 2021,C Morineau,Horse,-,-,-
